"fec_info","codigo_tipo_persona","segmento","categoria","saldo_medio_total","saldo_medio_vista","saldo_medio_plazo","num_clientes"
202312,F,WEALTH MANAGEMENT,Inactivos,43675753.94568795,1016598.7555667721,42659155.19012451,441
202311,F,GLOBAL TRANSACTION BANKING,Inactivos,533867.3786997795,533867.3786997795,0.0,11
202312,F,GLOBAL TRANSACTION BANKING,Inactivos,762047.0548930168,762047.0548930168,0.0,11
202401,F,WEALTH MANAGEMENT,C,5059793073.40812,1075132193.9279103,3984660895.0234375,2315
202402,F,WEALTH MANAGEMENT,C,5142075782.902867,976574258.6979842,4165501485.360634,2234
202403,F,WEALTH MANAGEMENT,C,5056925205.771708,974975948.5291178,4081949278.725153,2322
202404,F,WEALTH MANAGEMENT,C,4198012556.9502964,906154948.7814405,3291857567.327115,2190
202401,F,PYMES,Inactivos,14492290622.162186,12914088042.717958,1578202571.3015733,88814
202402,F,PYMES,Inactivos,14379228775.433592,12756646756.372534,1622582009.7218866,89630
202403,F,PYMES,Inactivos,14462283661.484936,12811513558.643143,1650770102.864697,90317
202404,F,PYMES,Inactivos,14188327993.120031,12577781673.12104,1610546310.7523956,91530
202301,F,WEALTH MANAGEMENT,B,2955090409.1886086,645751658.170052,2309338747.7238007,2087
202302,F,WEALTH MANAGEMENT,B,3053914633.3570642,767038851.9409361,2286875772.0965385,2016
202303,F,WEALTH MANAGEMENT,B,3329557165.282066,743455260.0290222,2586101903.6602325,2132
202304,F,WEALTH MANAGEMENT,B,2924947915.7891498,602516993.2132015,2322430915.898634,2164
202305,F,WEALTH MANAGEMENT,B,3465562492.781172,774462466.6500546,2691100032.1605487,2190
202306,F,WEALTH MANAGEMENT,B,2497830710.556428,639725280.0858395,1858105437.05645,2152
202401,F,PARTICULARES,B,78677061276.8323,51254776541.774956,27422284737.379242,2100515
202302,F,PARTICULARES,Sin Categoria,1366.1800537109375,1366.1800537109375,0.0,1
202307,F,WEALTH MANAGEMENT,B,3497831482.187479,813046725.9285955,2684784774.667738,2141
